"","IP","流量"
1,"94.23.45.209",914189476
2,"107.189.6.199",905382097
3,"47.242.70.168",850585242
4,"45.129.56.207",845904927
5,"116.12.42.17",822162467
6,"190.242.175.68",745332256
7,"190.109.124.18",726121504
8,"124.65.80.14",693496341
9,"206.1.93.194",682363726
10,"200.82.153.192",645446140
11,"43.235.7.71",639703254
12,"85.163.10.163",626985557
13,"146.59.240.157",615773705
14,"200.201.134.184",615637942
15,"170.210.71.29",592183702
16,"138.36.151.230",591558601
17,"115.227.17.15",586706631
18,"177.85.119.178",565987243
19,"45.61.14.18",551772875
20,"181.177.232.146",549305612
21,"2.188.210.1",547659224
22,"92.247.12.130",542340357
23,"168.121.51.201",540992748
24,"220.178.177.238",519985193
25,"112.248.80.106",513659943
26,"61.160.223.40",498942467
27,"103.163.47.46",488546033
28,"216.122.181.234",481879324
29,"47.243.171.154",481199758
30,"198.211.122.238",458065642
31,"149.202.69.31",453764970
32,"216.122.181.251",441994750
33,"37.252.65.140",438989093
34,"88.99.136.198",419482019
35,"184.154.13.122",417533661
36,"39.155.255.94",414798308
37,"94.103.9.173",411613733
38,"103.115.164.87",401960434
39,"103.254.86.130",377043524
40,"194.104.136.159",376408601
41,"37.230.113.157",371825531
42,"192.177.100.18",368879870
43,"112.248.67.85",365783967
44,"94.237.14.0",365376838
45,"178.255.43.205",361226153
46,"65.21.102.21",350343618
47,"38.51.48.18",348473462
48,"47.57.186.8",346449912
49,"104.149.152.115",341058586
50,"8.210.90.95",339697806
51,"104.192.3.74",336791368
52,"116.49.180.153",336301570
53,"189.89.179.174",334987962
54,"45.183.40.82",328921199
55,"103.194.176.202",327119316
56,"45.148.30.232",326177093
57,"170.187.237.73",322547926
58,"144.24.93.104",318833960
59,"185.218.127.182",317826618
60,"91.199.87.121",312556369
61,"43.155.67.238",309054271
62,"162.203.79.50",308798944
63,"23.160.192.200",308527511
64,"222.223.150.143",307871958
65,"47.57.71.185",303784808
66,"91.197.0.102",303370572
67,"45.125.67.92",303136681
68,"103.156.242.13",302166495
69,"113.15.68.5",302066638
70,"45.77.253.40",301085377
71,"103.116.72.19",300277045
72,"183.252.207.6",299864211
73,"130.162.142.39",299856392
74,"218.3.166.50",299230017
75,"46.232.120.243",299196929
76,"103.116.72.12",299061371
77,"111.61.142.143",298275719
78,"103.167.134.28",296767346
79,"103.116.72.21",296693737
80,"35.220.231.52",296484323
81,"93.114.194.214",295939428
82,"203.198.94.17",295551230
83,"103.145.34.102",295336261
84,"58.220.100.25",295083100
85,"192.141.98.106",294928745
86,"142.44.244.252",294860321
87,"111.30.24.67",294377423
88,"194.44.126.22",293350103
89,"106.104.177.158",288924037
90,"23.129.64.250",288311141
91,"162.223.91.17",287814537
92,"212.107.29.89",285560066
93,"194.124.36.110",284364763
94,"202.12.80.158",283853464
95,"176.122.163.225",282023634
96,"143.198.212.109",281503910
97,"159.69.12.52",280562564
98,"125.46.99.99",278153803
99,"218.76.101.25",278029981
100,"20.255.62.60",277881237
